CODIGO,NOMBRE,UNIV TIPO,ESTADO LICENCIAMIENTO,PERIODO LICENC,DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD
1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,LICENCIADA,10,LIMA,LIMA,LIMA,-12.046374,-77.0427934
2,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,PUBLICO,LICENCIADA,6,AYACUCHO,HUAMANGA,AYACUCHO,-13.1638737,-74.2235641
3,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,LICENCIADA,8,CUSCO,CUSCO,CUSCO,-13.53195,-71.9674626
4,UNIVERSIDAD NACIONAL DE TRUJILLO,PUBLICO,LICENCIADA,8,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435933,-78.4751945
5,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,PUBLICO,LICENCIADA,10,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
6,UNIVERSIDAD NACIONAL DE INGENIERÍA,PUBLICO,LICENCIADA,10,LIMA,LIMA,RIMAC,-12.046374,-77.0427934
7,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PUBLICO,LICENCIADA,8,LIMA,LIMA,LA MOLINA,-12.046374,-77.0427934
8,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,PRIVADA ASOCIATIVA,LICENCIADA,10,LIMA,LIMA,SAN MIGUEL,-12.046374,-77.0427934
9,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,PUBLICO,EN PROCESO,,ICA,ICA,ICA,-13.9379378,-75.8007093
10,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,PUBLICO,LICENCIADA,6,JUNiN,HUANCAYO,EL TAMBO,-11.335798,-75.3412179
11,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,PUBLICO,LICENCIADA,8,LORETO,MAYNAS,IQUITOS,-4.2324729,-74.2179326
12,UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUBLICO,LICENCIADA,6,PUNO,PUNO,PUNO,-15.234875,-70.050314
13,UNIVERSIDAD NACIONAL DE PIURA,PUBLICO,LICENCIADA,6,PIURA,PIURA,CASTILLA,-5.1782884,-80.6548882
14,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADA ASOCIATIVA,LICENCIADA,10,LIMA,LIMA,SAN MARTIN DE PORRES,-12.046374,-77.0427934
15,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,PRIVADA ASOCIATIVA,LICENCIADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
16,UNIVERSIDAD NACIONAL DE CAJAMARCA,PUBLICO,LICENCIADA,6,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.1617465,-78.5127855
17,UNIVERSIDAD DEL PACÍFICO,PRIVADA ASOCIATIVA,LICENCIADA,8,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.0427934
18,UNIVERSIDAD DE LIMA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.0427934
19,UNIVERSIDAD DE SAN MARTÍN DE PORRES,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,SANTA ANITA,-12.046374,-77.0427934
20,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,LA MOLINA,-12.046374,-77.0427934
21,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,PUBLICO,EN PROCESO,,LIMA,LIMA,LIMA,-12.046374,-77.0427934
22,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA,PUBLICO,EN PROCESO,,HUaNUCO,LEONCIO PRADO,RUPA-RUPA,-9.9298454,-76.2432653
23,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,PUBLICO,EN PROCESO,,HUaNUCO,HUÁNUCO,PILLCO MARCA,-9.9298454,-76.2432653
24,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.0427934
25,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,PUBLICO,EN PROCESO,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.046374,-77.0427934
26,UNIVERSIDAD NACIONAL DANIEL ALCÍDES CARRIÓN,PUBLICO,EN PROCESO,,PASCO,PASCO,YANACANCHA,-10.6776695,-76.2612763
27,UNIVERSIDAD NACIONAL DEL CALLAO,PUBLICO,EN PROCESO,,CALLAO,CALLAO,BELLAVISTA,-12.0508491,-77.1259843
28,UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,PUBLICO,EN PROCESO,,LIMA,HUAURA,HUACHO,-12.046374,-77.0427934
29,UNIVERSIDAD DE PIURA,PRIVADA ASOCIATIVA,LICENCIADA,8,PIURA,PIURA,PIURA,-5.1782884,-80.6548882
30,UNIVERSIDAD RICARDO PALMA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.0427934
31,UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO,PUBLICO,EN PROCESO,,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-6.4776528,-79.9192702
32,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,PUBLICO,LICENCIADA,6,TACNA,TACNA,TACNA,-18.0065679,-70.2462741
33,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,PUBLICO,LICENCIADA,6,ANCASH,HUARAZ,INDEPENDENCIA,-9.3250497,-77.5619419
34,UNIVERSIDAD NACIONAL DE SAN MARTÍN,PUBLICO,LICENCIADA,6,SAN MARTiN,SAN MARTÍN,MORALES,-7.2444881,-76.8259652
35,UNIVERSIDAD NACIONAL DE UCAYALI,PUBLICO,LICENCIADA,6,UCAYALI,CORONEL PORTILLO,MANANTAY,-9.8251183,-73.087749
36,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADA ASOCIATIVA,EN PROCESO,,PUNO,SAN ROMAN,JULIACA,-15.234875,-70.050314
37,UNIVERSIDAD PERUANA LOS ANDES,PRIVADA ASOCIATIVA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
38,UNIVERSIDAD PERUANA UNIÓN,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,CHACLACAYO,-12.046374,-77.0427934
39,UNIVERSIDAD ANDINA DEL CUSCO,PRIVADA ASOCIATIVA,LICENCIADA,6,CUSCO,CUSCO,SAN JERÓNIMO,-13.53195,-71.9674626
40,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,PRIVADA ASOCIATIVA,EN PROCESO,,APURiMAC,ABANCAY,ABANCAY,-14.0504533,-73.087749
41,UNIVERSIDAD NACIONAL DE TUMBES,PUBLICO,EN PROCESO,,TUMBES,TUMBES,TUMBES,-3.5628615,-80.4517014
42,UNIVERSIDAD NACIONAL DEL SANTA,PUBLICO,LICENCIADA,6,ANCASH,SANTA,NUEVO CHIMBOTE,-9.3250497,-77.5619419
43,UNIVERSIDAD PRIVADA DE TACNA,PRIVADA ASOCIATIVA,LICENCIADA,6,TACNA,TACNA,POCOLLAY,-18.0065679,-70.2462741
44,UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADA ASOCIATIVA,EN PROCESO,,LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.4776528,-79.9192702
045A,UNIVERSIDAD SAN PEDRO,PRIVADA ASOCIATIVA,EN PROCESO,,ANCASH,SANTA,CHIMBOTE,-9.3250497,-77.5619419
46,UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADA ASOCIATIVA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435933,-78.4751945
47,UNIVERSIDAD DE HUÁNUCO,PRIVADA ASOCIATIVA,LICENCIADA,6,HUaNUCO,HUÁNUCO,HUÁNUCO,-9.9298454,-76.2432653
048A,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADA ASOCIATIVA,EN PROCESO,,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.1927361,-70.9328138
49,UNIVERSIDAD MARCELINO CHAMPAGNAT,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.0427934
050A,UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADA ASOCIATIVA,EN PROCESO,,LORETO,MAYNAS,SAN JUAN BAUTISTA,-4.2324729,-74.2179326
51,UNIVERSIDAD NACIONAL DE HUANCAVELICA,PUBLICO,LICENCIADA,6,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,-12.7861978,-74.9764024
052A,UNIVERSIDAD CÉSAR VALLEJO S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1435933,-78.4751945
053A,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,PRIVADA ASOCIATIVA,EN PROCESO,,ANCASH,SANTA,CHIMBOTE,-9.3250497,-77.5619419
54,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.0427934
55,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435933,-78.4751945
57,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,LA MOLINA,-12.046374,-77.0427934
59,UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.0427934
61,UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,LIMA,-12.046374,-77.0427934
62,UNIVERSIDAD CATÓLICA SAN PABLO,PRIVADA ASOCIATIVA,LICENCIADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
063A,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,ICA,ICA,ICA,-13.9379378,-75.8007093
064A,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,CHORRILLOS,-12.046374,-77.0427934
65,UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,LIMA,-12.046374,-77.0427934
067A,UNIVERSIDAD CONTINENTAL S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
68,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,VILLA EL SALVADOR,-12.046374,-77.0427934
69,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,PRIVADA ASOCIATIVA,LICENCIADA,6,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.4776528,-79.9192702
70,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO,PRIVADA SOCIETARIA,EN PROCESO,,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.1617465,-78.5127855
71,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,LOS OLIVOS,-12.046374,-77.0427934
72,UNIVERSIDAD SEÑOR DE SIPÁN,PRIVADA SOCIETARIA,EN PROCESO,,LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.4776528,-79.9192702
074A,ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,PRIVADA ASOCIATIVA,LICENCIADA,6,LA LIBERTAD,TRUJILLO,MOCHE,-8.1435933,-78.4751945
75,UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,PUBLICO,EN PROCESO,,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,-12.5986,-70.090584
76,UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,PUBLICO,LICENCIADA,6,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-5.115146,-78.1108279
77,UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC,PUBLICO,EN PROCESO,,APURiMAC,ABANCAY,TAMBURCO,-14.0504533,-73.087749
78,UNIVERSIDAD PERUANA DE LAS AMÉRICAS SAC,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,LIMA,-12.046374,-77.0427934
79,UNIVERSIDAD ESAN,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.0427934
80,UNIVERSIDAD ANTONIO RUÍZ DE MONTOYA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.0427934
81,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.0427934
82,UNIVERSIDAD PARA EL DESARROLLO ANDINO,PRIVADA ASOCIATIVA,LICENCIADA,6,HUANCAVELICA,ANGARAES,LIRCAY,-12.7861978,-74.9764024
83,UNIVERSIDAD PRIVADA TELESUP S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,LIMA,-12.046374,-77.0427934
84,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,PUBLICO,LICENCIADA,6,UCAYALI,CORONEL PORTILLO,YARINACOCHA,-9.8251183,-73.087749
85,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,-12.046374,-77.0427934
86,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,UCAYALI,CORONEL PORTILLO,CALLERÍA,-9.8251183,-73.087749
087A,UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,ICA,CHINCHA,CHINCHA ALTA,-13.9379378,-75.8007093
088A,UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR,PUBLICO,LICENCIADA,6,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,-12.046374,-77.0427934
89,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,PUBLICO,LICENCIADA,6,APURiMAC,ANDAHUAYLAS,ANDAHUAYLAS,-14.0504533,-73.087749
90,UNIVERSIDAD PRIVADA DE TRUJILLO,PRIVADA ASOCIATIVA,EN PROCESO,,LA LIBERTAD,TRUJILLO,SIMBAL,-8.1435933,-78.4751945
91,UNIVERSIDAD PRIVADA SAN CARLOS SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,PUNO,PUNO,PUNO,-15.234875,-70.050314
92,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.0427934
93,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,SANTIAGO DE SURCO,-12.046374,-77.0427934
94,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LORETO,MAYNAS,SAN JUAN BAUTISTA,-4.2324729,-74.2179326
95,UNIVERSIDAD NACIONAL DE MOQUEGUA,PUBLICO,LICENCIADA,6,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.1927361,-70.9328138
96,UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,VILLA EL SALVADOR,-12.046374,-77.0427934
97,UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,LOS OLIVOS,-12.046374,-77.0427934
98,UNIVERSIDAD NACIONAL DE JULIACA,PUBLICO,LICENCIADA,6,PUNO,SAN ROMAN,JULIACA,-15.234875,-70.050314
99,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.4776528,-79.9192702
100,UNIVERSIDAD JAIME BAUSATE Y MEZA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.0427934
101,UNIVERSIDAD NACIONAL DE JAÉN,PUBLICO,LICENCIADA,6,CAJAMARCA,JAEN,JAEN,-7.1617465,-78.5127855
102,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,PRIVADA ASOCIATIVA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,LIMA,-12.046374,-77.0427934
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,MIRAFLORES,-12.046374,-77.0427934
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,LICENCIADA,6,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
106,UNIVERSIDAD NACIONAL DE FRONTERA,PUBLICO,LICENCIADA,6,PIURA,SULLANA,SULLANA,-5.1782884,-80.6548882
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.4776528,-79.9192702
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,LA MOLINA,-12.046374,-77.0427934
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,SAN BORJA,-12.046374,-77.0427934
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA,PRIVADA SOCIETARIA,EN PROCESO,,LORETO,MAYNAS,IQUITOS,-4.2324729,-74.2179326
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AYACUCHO,HUAMANGA,AYACUCHO,-13.1638737,-74.2235641
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,PRIVADA SOCIETARIA,DENEGADA,6,LIMA,LIMA,JESÚS MARÍA,-12.046374,-77.0427934
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,CUSCO,CUSCO,-13.53195,-71.9674626
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,LIMA,LIMA,INDEPENDENCIA,-12.046374,-77.0427934
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,BREÑA,-12.046374,-77.0427934
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,SURQUILLO,-12.046374,-77.0427934
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435933,-78.4751945
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,PUBLICO,LICENCIADA,6,CAJAMARCA,CHOTA,CHOTA,-7.1617465,-78.5127855
121,UNIVERSIDAD NACIONAL DE BARRANCA,PUBLICO,LICENCIADA,6,LIMA,BARRANCA,BARRANCA,-12.046374,-77.0427934
122,UNIVERSIDAD NACIONAL DE CAÑETE,PUBLICO,LICENCIADA,6,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,-12.046374,-77.0427934
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,PUBLICO,LICENCIADA,6,LORETO,ALTO AMAZONAS,YURIMAGUAS,-4.2324729,-74.2179326
128,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,PUBLICO,LICENCIADA,6,AYACUCHO,HUANTA,HUANTA,-13.1638737,-74.2235641
132,UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,PRIVADA ASOCIATIVA,LICENCIADA,6,LIMA,LIMA,BARRANCO,-12.046374,-77.0427934
133,UNIVERSIDAD LA SALLE,PRIVADA ASOCIATIVA,LICENCIADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
134,UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,TACNA,TACNA,TACNA,-18.0065679,-70.2462741
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AREQUIPA,AREQUIPA,AREQUIPA,-16.4090474,-71.537451
136,UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,PRIVADA SOCIETARIA,LICENCIADA,6,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.046374,-77.0427934
137A,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,-5.115146,-78.1108279
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN,PRIVADA SOCIETARIA,EN PROCESO,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.046374,-77.0427934
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,PRIVADA SOCIETARIA,DENEGADA,,CALLAO,CALLAO,CALLAO,-12.0508491,-77.1259843
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,LA CONVENCIÓN,SANTA ANA,-13.53195,-71.9674626
144,UNIVERSIDAD GLOBAL DEL CUSCO SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,EN PROCESO,,CUSCO,CUSCO,CUSCO,-13.53195,-71.9674626
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,PRIVADA SOCIETARIA,EN PROCESO,,JUNiN,HUANCAYO,HUANCAYO,-11.335798,-75.3412179
146,UNIVERSIDAD PRIVADA SISE S.A.C.,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,ATE,-12.046374,-77.0427934
147,UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,LA MOLINA,-12.046374,-77.0427934
148,UNIVERSIDAD SEMINARIO BÍBLICO ANDINO,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.0427934
149,UNIVERSIDAD CATÓLICA SAN JOSÉ,PRIVADA ASOCIATIVA,EN PROCESO,,LIMA,LIMA,PUEBLO LIBRE,-12.046374,-77.0427934
